Date,Year,Month,Price for last transaction,Maximum,Minimum,Average price,%prom,Quantity,Traffic BEST mkd,Total traffic
13.11.2024,2024,11,,,,,,0,0,0
14.11.2024,2024,11,,,,,,0,0,0
15.11.2024,2024,11,"36.900,00","36.900,00","36.900,00","36.900,00",,50,1.845.000,1.845.000
18.11.2024,2024,11,"36.900,00",,,"36.900,00","0,00",0,0,0
19.11.2024,2024,11,"36.900,00",,,"36.900,00","0,00",0,0,0
20.11.2024,2024,11,"36.900,00",,,"36.900,00","0,00",0,0,0
21.11.2024,2024,11,"36.900,00",,,"36.900,00","0,00",0,0,0
22.11.2024,2024,11,"36.900,00",,,"36.900,00","0,00",0,0,0
