Date,Year,Month,Price for last transaction,Maximum,Minimum,Average price,%prom,Quantity,Traffic BEST mkd,Total traffic
07.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
08.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
09.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
10.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
11.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
14.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
15.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
16.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
17.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
22.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
23.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
24.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
25.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
28.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
29.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
30.4.2014,2014,4,"250,00",,,"250,00","0,00",0,0,0
02.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
05.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
06.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
07.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
08.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
09.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
12.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
13.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
14.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
15.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
16.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
19.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
20.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
21.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
22.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
23.5.2014,2014,5,"250,00","250,00","250,00","250,00","0,00",471,117.750,117.750
26.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
27.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
28.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
29.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
30.5.2014,2014,5,"250,00",,,"250,00","0,00",0,0,0
02.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
03.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
04.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
05.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
09.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
10.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
11.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
12.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
13.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
16.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
17.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
18.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
19.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
20.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
23.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
24.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
25.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
26.6.2014,2014,6,"250,00",,,"250,00","0,00",0,0,0
